,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
507,2016-07-01,15157,19220785,0,101,0,101
508,2016-07-01,28978,367905405,0,101,0,101
509,2016-07-01,6657,1389588518,100,0,0,100
510,2016-07-01,6930,1389123690,0,98,2,100
511,2016-07-01,7226,3301022112,1,99,0,100
512,2016-07-01,21345,40361182,85,12,0,100
513,2016-07-01,21463,591879987,96,4,0,100
514,2016-07-01,25922,415725818,7,72,16,100
515,2016-07-01,98574,459136932,100,0,0,100
516,2016-07-01,198460,2460478249,20,1,62,100
517,2016-07-01,859,28352024,82,17,0,99
518,2016-07-01,5433,706250312810684418,0,90,0,99
519,2016-07-01,6233,2853443310,1,98,0,99
520,2016-07-01,7865,23114490,3,76,0,99
521,2016-07-01,13017,57388012,99,0,0,99
522,2016-07-01,74342,518582470,99,0,0,99
523,2016-07-01,91241,1059236846,97,0,2,99
524,2016-07-01,6309,1924904623,0,98,0,98
525,2016-07-01,6595,97793731,0,98,0,98
526,2016-07-01,7781,18224811,40,48,10,98
527,2016-07-01,13901,238015192,12,85,1,98
528,2016-07-01,85184,735233974486831106,0,98,0,98
529,2016-07-01,126213,4677632868,73,0,17,98
530,2016-07-01,172725,704034081898668032,88,9,1,98
531,2016-07-01,172766,716657488326688768,0,98,0,98
532,2016-07-01,286597,4690159495,98,0,0,98
533,2016-07-01,413926,757291789556461569,0,98,0,98
534,2016-07-01,589,18643437,79,14,1,97
535,2016-07-01,15375,4855439824,1,96,0,97
536,2016-07-01,17729,3030545658,2,95,0,97
537,2016-07-01,66291,448510528,6,87,1,97
538,2016-07-01,84288,735192777575813120,0,97,0,97
539,2016-07-01,1660,406784853,96,0,0,96
540,2016-07-01,2599,3499636752,0,96,0,96
541,2016-07-01,4998,923885029,3,73,16,96
542,2016-07-01,8677,2949051936,0,96,0,96
543,2016-07-01,9206,4169185155,46,50,0,96
544,2016-07-01,9664,80626778,95,1,0,96
545,2016-07-01,13435,4596637336,0,94,2,96
546,2016-07-01,13465,173119648,1,94,0,96
547,2016-07-01,16634,2490929974,0,96,0,96
548,2016-07-01,27841,52520387,96,0,0,96
549,2016-07-01,83644,21952924,49,0,47,96
550,2016-07-01,239890,251428031,2,94,0,96
551,2016-07-01,610,2912957057,0,95,0,95
552,2016-07-01,4938,2442837163,95,0,0,95
553,2016-07-01,89298,735491983704088577,25,70,0,95
554,2016-07-01,169966,704999887432187905,0,14,79,95
555,2016-07-01,210580,717080381153894400,0,94,0,95
556,2016-07-01,789,19757184,90,4,0,94
557,2016-07-01,1485,4831603043,94,0,0,94
558,2016-07-01,2649,4085135908,0,91,0,94
